Order ID,Collection,Specimen,Corrected specimen name,Image type,Imaging type,Filename,ROI ,Notes,Box URL,Filepath,Location,Upload to DCC
126,HT124P1,S1H4L1 S1H4L4,"HT124P1-S1H4L1,S1H4L4",TIFF,IMC,HTAN_HT124P1_S1H4_L1_L4_ROI_002.ome.tiff,2,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT124P1_S1H4_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
127,HT124P1,S1H4L1 S1H4L4,"HT124P1-S1H4L1,S1H4L4",TIFF,IMC,HTAN_HT124P1_S1H4_L1_L4_ROI_003.ome.tiff,3,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT124P1_S1H4_L1_L4_ROI_003.ome.tiff,Storage1,TRUE
128,HT124P1,S1H4L1 S1H4L4,"HT124P1-S1H4L1,S1H4L4",TIFF,IMC,HTAN_HT124P1_S1H4_L1_L4_ROI_005.ome.tiff,5,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT124P1_S1H4_L1_L4_ROI_005.ome.tiff,Storage1,TRUE
129,HT124P1,S1H2L1 S1H2L4,"HT124P1-S1H2L1,S1H2L4",TIFF,IMC,HTAN_HT124P1S1H2_L1_L4_ROI_001.ome.tiff,1,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT124P1S1H2_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
130,HT124P1,S1H2L1 S1H2L4,"HT124P1-S1H2L1,S1H2L4",TIFF,IMC,HTAN_HT124P1S1H2_L1_L4_ROI_002.ome.tiff,2,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT124P1S1H2_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
145,HT166P1,S1H2L1 H1H2L4,"HT166P1-S1H2L1,H1H2L4",TIFF,IMC,HTAN_HT166P1_S1H2_L1_L4_ROI_001.ome.tiff,1,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT166P1_S1H2_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
146,HT166P1,S1H2L1 H1H2L4,"HT166P1-S1H2L1,H1H2L4",TIFF,IMC,HTAN_HT166P1_S1H2_L1_L4_ROI_002.ome.tiff,2,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT166P1_S1H2_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
147,HT166P1,S1H5L1 S1H5L4,"HT166P1-S1H5L1,S1H5L4",TIFF,IMC,HTAN_HT166P1_S1H5_L4_ROI_001.ome.tiff,1,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT166P1_S1H5_L4_ROI_001.ome.tiff,Storage1,TRUE
148,HT166P1,S1H5L1 S1H5L4,"HT166P1-S1H5L1,S1H5L4",TIFF,IMC,HTAN_HT166P1_S1H5_L4_ROI_002.ome.tiff,2,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT166P1_S1H5_L4_ROI_002.ome.tiff,Storage1,TRUE
149,HT166P1,S1H5L1 S1H5L4,"HT166P1-S1H5L1,S1H5L4",TIFF,IMC,HTAN_HT166P1_S1H5_L4_ROI_003.ome.tiff,3,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT166P1_S1H5_L4_ROI_003.ome.tiff,Storage1,TRUE
